Date: 8th feb
Description: testing data set after 1 hr
r,g,b,h,s,v,l,a,lab,y,cr,cb, val, prediction
88,40,61,167,139,88,60,153,125,57,150,130,300,308.03446832099974
87,40,61,167,138,87,59,152,125,56,150,131,300,298.712480024
89,41,57,170,138,89,61,152,128,57,151,128,300,307.4112736619999
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
90,41,58,170,139,90,61,153,128,58,151,128,300,309.91183253500003
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,57,170,138,89,61,152,128,57,151,128,300,307.4112736619999
88,41,57,170,136,88,60,152,128,57,150,128,300,297.90253081300006
87,40,60,167,138,87,59,152,126,56,150,130,300,296.64387143399983
88,40,61,167,139,88,60,153,125,57,150,130,300,308.03446832099974
88,40,61,167,139,88,60,153,125,57,150,130,300,308.03446832099974
88,40,61,167,139,88,60,153,125,57,150,130,300,308.03446832099974
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
88,39,61,167,142,88,59,153,125,56,151,131,300,315.69836153699987
88,40,58,169,139,88,59,153,127,56,151,129,300,301.1292685609996
89,40,59,168,140,89,60,153,127,57,151,129,300,308.6491116699996
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
88,39,61,167,142,88,59,153,125,56,151,131,300,315.69836153699987
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
88,39,61,167,142,88,59,153,125,56,151,131,300,315.69836153699987
89,41,57,170,138,89,61,152,128,57,151,128,300,307.4112736619999
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,40,58,169,140,89,60,153,127,57,151,129,300,311.62555537799966
87,40,61,167,138,87,59,152,125,56,150,131,300,298.712480024
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
88,39,61,167,142,88,59,153,125,56,151,131,300,315.69836153699987
86,39,60,167,139,86,58,153,125,55,150,131,300,301.9224899989998
88,40,61,167,139,88,60,153,125,57,150,130,300,308.03446832099974
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
88,40,61,167,139,88,60,153,125,57,150,130,300,308.03446832099974
86,39,61,166,139,86,58,153,124,56,149,131,300,301.1513449189998
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
